Time,Extension,Load,Strain 1,,,
(s),(mm),(N),(mm/mm),,,
0,0,0.11,0,,,
0.1,0.00909,116.07,0,,,
0.2,0.0235,332.66,0.00003,,,
0.3,0.03511,424.01,0.00003,,,
0.4,0.04681,511.76,0.00004,,,
0.5,0.05841,586.55,0.00004,,,
0.6,0.07016,660.33,0.00005,,,
0.7,0.08206,729.37,0.00006,,,
0.8,0.09342,790.63,0.00006,,,
0.9,0.10507,850.45,0.00006,,,
1,0.11682,904.85,0.00007,,,
1.1,0.12862,957.61,0.00008,,,
1.2,0.14032,1009.24,0.00008,,,
1.3,0.15177,1054.96,0.00008,,,
1.4,0.16348,1099.10,0.00009,,,
1.5,0.17523,1141.16,0.00009,,,
1.6,0.18698,1181.82,0.00009,,,
1.7,0.19858,1222.47,0.0001,,,
1.8,0.21008,1256.13,0.0001,,,
1.9,0.22179,1292.15,0.00011,,,
2,0.23369,1328.50,0.00011,,,
2.1,0.24534,1362.41,0.00011,,,
2.2,0.25684,1395.89,0.00012,,,
2.3,0.26849,1425.13,0.00012,,,
2.4,0.2802,1457.01,0.00013,,,
2.5,0.29205,1489.57,0.00012,,,
2.6,0.3035,1519.44,0.00013,,,
2.7,0.31505,1549.69,0.00013,,,
2.8,0.32685,1578.53,0.00013,,,
2.9,0.3386,1608.70,0.00014,,,
3,0.35046,1643.12,0.00014,,,
3.1,0.36171,1672.18,0.00014,,,
3.2,0.37346,1704.72,0.00015,,,
3.3,0.38526,1736.33,0.00015,,,
3.4,0.39696,1769.09,0.00015,,,
3.5,0.40857,1806.24,0.00016,,,
3.6,0.42007,1838.60,0.00016,,,
3.7,0.43187,1874.92,0.00016,,,
3.8,0.44362,1912.20,0.00017,,,
3.9,0.45527,1950.01,0.00017,,,
4,0.46687,1991.38,0.00018,,,
4.1,0.47848,2028.94,0.00018,,,
4.2,0.49023,2071.51,0.00018,,,
4.3,0.50203,2114.21,0.00019,,,
4.4,0.51353,2156.20,0.00019,,,
4.5,0.52518,2202.51,0.0002,,,
4.6,0.53684,2243.83,0.0002,,,
4.7,0.54854,2289.43,0.0002,,,
4.8,0.56044,2337.51,0.00021,,,
4.9,0.57174,2382.38,0.00021,,,
5,0.58344,2430.15,0.00022,,,
5.1,0.5952,2475.60,0.00023,,,
5.2,0.607,2524.30,0.00023,,,
5.3,0.61865,2575.12,0.00024,,,
5.4,0.63005,2621.47,0.00024,,,
5.5,0.6418,2671.21,0.00025,,,
5.6,0.65371,2721.82,0.00025,,,
5.7,0.66536,2771.76,0.00026,,,
5.8,0.67686,2824.49,0.00026,,,
5.9,0.68841,2872.88,0.00027,,,
6,0.70021,2926.69,0.00027,,,
6.1,0.71196,2978.33,0.00028,,,
6.2,0.72357,3032.01,0.00028,,,
6.3,0.73517,3087.18,0.00029,,,
6.4,0.74692,3137.87,0.00029,,,
6.5,0.75857,3193.33,0.0003,,,
6.6,0.77037,3248.30,0.00031,,,
6.7,0.78177,3301.68,0.00032,,,
6.8,0.79348,3358.75,0.00032,,,
6.9,0.80518,3411.12,0.00033,,,
7,0.81688,3468.67,0.00033,,,
7.1,0.82873,3527.46,0.00034,,,
7.2,0.84013,3582.25,0.00035,,,
7.3,0.85189,3641.87,0.00035,,,
7.4,0.86354,3698.37,0.00036,,,
7.5,0.87529,3758.99,0.00037,,,
7.6,0.88699,3820.63,0.00037,,,
7.7,0.89834,3877.25,0.00038,,,
7.8,0.91014,3940.66,0.00038,,,
7.9,0.9219,4002.18,0.00039,,,
8,0.93365,4067.65,0.0004,,,
8.1,0.9452,4130.95,0.00041,,,
8.2,0.95685,4192.44,0.00042,,,
8.3,0.9685,4257.72,0.00042,,,
8.4,0.98036,4324.47,0.00043,,,
8.5,0.99181,4391.87,0.00044,,,
8.6,1.00351,4459.19,0.00044,,,
8.7,1.01521,4522.33,0.00045,,,
8.8,1.02691,4592.46,0.00046,,,
8.9,1.03867,4662.30,0.00047,,,
9,1.05017,4732.77,0.00047,,,
9.1,1.06182,4801.95,0.00048,,,
9.2,1.07347,4869.16,0.00049,,,
9.3,1.08522,4942.93,0.0005,,,
9.4,1.09698,5016.44,0.0005,,,
9.5,1.10848,5087.39,0.00052,,,
9.6,1.12018,5160.89,0.00052,,,
9.7,1.13183,5232.69,0.00053,,,
9.8,1.14363,5311.78,0.00054,,,
9.9,1.15533,5389.15,0.00055,,,
10,1.16679,5460.23,0.00055,,,
10.1,1.17844,5537.63,0.00056,,,
10.2,1.19029,5614.78,0.00057,,,
10.3,1.20189,5695.35,0.00058,,,
10.4,1.21344,5772.66,0.00059,,,
10.5,1.22514,5848.48,0.0006,,,
10.6,1.23685,5929.03,0.00061,,,
10.7,1.24875,6009.48,0.00062,,,
10.8,1.26015,6091.73,0.00063,,,
10.9,1.2718,6172.34,0.00064,,,
11,1.2835,6250.79,0.00065,,,
11.1,1.29521,6334.94,0.00066,,,
11.2,1.30696,6417.99,0.00067,,,
11.3,1.31846,6503.32,0.00068,,,
11.4,1.33016,6584.77,0.00069,,,
11.5,1.34186,6668.84,0.00071,,,
11.6,1.35362,6754.99,0.00071,,,
11.7,1.36532,6842.01,0.00072,,,
11.8,1.37672,6927.55,0.00073,,,
11.9,1.38847,7012.81,0.00074,,,
12,1.40022,7098.52,0.00075,,,
12.1,1.41192,7189.08,0.00076,,,
12.2,1.42353,7278.21,0.00078,,,
12.3,1.43513,7365.40,0.00079,,,
